,F12014,F22014,F32014,F42014,F52014,F62014,F72014,F82014,F92014,F102014,F112014,F122014,F132014,F12017,F22017,F32017,F42017,F52017,F62017,F72017,F82017,F92017,F12020,F22020,F32020,F42020,F12022,F22022,F32022,F42022
0,14257939.09223148,1039592254.270152,7901.36216845043,506.4378723232227,520.4022287106217,610.280080978624,702.4573972309611,843.2659970194777,950.047773102307,124.26814786585328,-207.9258717515586,1201.5436426965894,1300.343071856214,1714595849.6016836,4844.268120907447,378.55571215943155,2517.5773668347497,500.0000133729904,16756.628150188808,812.5000011580387,802.3635338173008,-124.11789690994192,1714595849.6016836,-726.6483311682196,17455.754850566474,2434.9545264722933,1292.9462313782888,500.54585543270787,600.0150910654149,898.5155282333903
1,3983842.489311729,817444761.4255869,8184.015613619651,480.136433398146,520.4528651099399,607.7313040125623,735.0454562868753,856.8970465521929,940.5598551212374,-193.8763166023482,784.5934592026688,1201.4454745281562,1300.403269283527,1133894453.5387306,7489.67553511988,461.53906995880794,2304.0365357868363,500.000369600281,21806.617584557374,804.0,801.8462455057784,-234.1393633855514,1133894453.5387306,38.54539843711791,63276.297394620204,2993.5468654812466,1996.2301917935308,464.72000800432966,600.0027645430908,850.000151652174
2,10489622.798655061,933956136.798597,8869.951362375683,471.8939901001131,520.5810040734831,609.4099167744738,704.5543748545936,852.80485857134,935.9911812920674,126.95583445564989,503.5895306407547,1200.7207914659905,1300.5463151664146,3924793846.1809216,10712.38597776141,382.79935502991486,1807.945097917997,500.0000105111432,9126.86842257017,762.000819908752,802.5563105690107,35.74686033714261,3924793846.1809216,372.5497751159037,49857.15206478581,2966.341041164559,2003.134340089473,572.7690155346785,600.0032446902646,842.0022613515724
3,36595716.13612364,1634969706.8414223,8748.374451226833,484.1115318509911,520.4412916304136,609.7770540492105,711.728187354766,857.2925385819382,939.2262425948551,38.8711783284416,-307.23415998141627,1201.0794288980546,1300.3692405222844,916095559.5297768,5653.547916430955,376.1320617316237,980.3458286440567,500.0003264835444,34655.47405190017,762.0001563950883,801.1062736963128,-693.9471817973035,916095559.5297768,1417.896323455222,23970.956567685473,2127.9574063457944,3098.4176976903764,454.80241318138974,600.003655909913,842.9150907289966
4,42387080.05573912,546505937.4412006,8025.479620191531,620.6126029287805,520.5428787303695,609.2015760080205,707.337978432227,850.1850486105742,942.0387556438184,262.5162904095514,-455.0693186909675,1200.7095578693666,1300.4275383595425,3180839273.4432073,7371.8149253818765,371.2492024347406,1975.444193361683,500.00000703099727,18732.910467221922,764.0007142724812,802.2043283698258,-719.9928595220144,3180839273.4432073,-67.3456792223351,24155.94982539398,1943.0832692836439,729.5188149089088,479.3645310347812,600.0138729983014,870.0050115094161
5,18039018.47791215,1488007036.900474,8792.986595161306,582.1590650406627,520.382136830088,610.1857239743803,706.0072515475815,841.3862289847718,947.2227093146757,129.07971920746786,908.6854258933336,1200.413480476653,1300.4067362031783,4985263832.454502,4631.859708438386,381.69187569700955,978.1294193522181,500.0005606658108,10377.044977723635,738.0018783196709,802.4239676563775,-755.5786600949041,4985263832.454502,635.8269111034879,27536.264935388223,1970.1730865104375,3075.5963285249486,469.47806125483487,600.030680713228,838.0014925607724
6,23750408.326504804,2037395051.7029986,5560.22530820038,468.74654521879785,520.5747272208074,609.6750060485796,706.544464924422,833.3008121311735,947.363210690136,118.81980233820559,1234.3974063875985,1200.8315317402298,1300.2544708719954,5359288675.4926195,7476.467395905641,378.8575962875327,1041.28268049895,500.00001245914234,28740.78705785647,802.0001616418837,802.3427351838835,398.8222470998826,5359288675.4926195,640.2102503754504,49709.51518203226,2046.0872229746062,2286.2498594083054,426.9081769772239,600.0357832794384,850.0006036862596
7,9480916.22479338,1141013371.671614,5412.421418204622,690.7492523471765,520.424635064401,610.9330566155593,705.8559763324613,845.6227604557528,950.9349264986888,259.30470170120043,655.7684791984666,1200.4202600877172,1300.4708643305698,3150247399.8464136,10118.134856559755,391.64404738921513,1616.5692139991165,500.0001687307982,36644.254899210646,776.0015534099722,802.5140769183993,-725.7067793974547,3150247399.8464136,-131.93592004783204,62156.96400940502,2333.479758454803,959.7732634766243,529.3975969110162,600.028316324451,886.5043087825849
8,7400481.991311388,848493015.376968,5185.708899942751,557.950061690955,520.3683115228038,607.933952054398,704.1619744392528,850.8664932050714,950.8445939260761,-476.82386687599046,901.559858813991,1201.1011612668617,1300.8141323067084,889650223.0073441,14534.4348801096,432.8266140737417,1026.0947086054098,500.0002449211138,61269.27876205591,744.1515144447347,800.8865939058511,-24.12609519798025,889650223.0073441,220.9019117263715,42023.20842932778,1906.513351233422,1256.2935078801324,523.4103351171289,600.0129620360174,842.0287487824874
9,11669041.760435058,1363312574.2197225,5780.455731287592,525.2926871887618,520.4711066722816,609.2332106692356,709.9528191922334,847.7913957877557,944.0562523694733,120.03580652636356,-87.1457925846662,1200.8807057536264,1301.1997744145895,1135295856.8271608,6216.805913598252,375.1159897184432,1807.41431650337,500.0001637190194,64949.589212417304,810.5008828546779,801.0990498938024,106.95495809001204,1135295856.8271608,378.12789117672037,42821.164268422006,1954.844675476948,799.809825631099,432.29871403487846,600.0160962602727,834.0004905417234
10,112662807.69890364,715141689.1973292,4562.873599004418,521.7774907917897,520.4561196543144,611.1341373986486,705.9244721712752,858.1580662400393,949.047421499195,-659.8157549648813,861.8470747401243,1200.5571613785971,1300.340320951964,4023196324.9527407,6715.871526793401,367.2868705170599,1530.8661588354619,500.00008236460405,10078.832705527842,730.2756920612807,802.3523266123902,180.1222295087482,4023196324.9527407,-13.648191625147774,25773.14762453275,2174.979291887483,1598.620960565665,559.8519888366767,600.016994149508,866.0959843158131
11,9742473.720657934,1761593210.9033113,5395.465433442567,481.5628103636004,520.4996223794159,610.0444908533207,703.8604519723652,845.1869711876168,944.1266062510239,125.36108114688341,675.9563954450978,1200.7442228010912,1300.672276246623,2563997682.159859,4220.561770561918,425.92749249683914,2012.347632571089,500.0003406912985,32522.87476971083,768.0000473058718,802.6408377207866,-461.2301564184854,2563997682.159859,1259.957228908676,15350.81256748621,2270.068933669897,1487.6114786741568,535.1030117378461,600.0078213771225,844.3053549229497
12,68855495.61817269,1170278242.8438337,4647.5080268473,1196.6108821755415,520.4335260178618,608.2718786173573,705.7957261200994,851.4187830117419,939.8802374790979,-474.05761694712237,360.53270819849786,1201.1039433739281,1300.6523878778391,4154095193.240398,10468.993453199613,417.38376825861246,2661.154830013406,500.0000264590169,42861.93295863613,757.9045180497735,802.0778837675948,-216.94625383486164,4154095193.240398,231.9621728160264,18315.195930593214,2009.2096082475366,872.064578197003,547.96066121689,600.0142073330172,832.0152641570587
13,177687101.2090265,689298857.4846057,9768.494068309365,654.604599468554,520.3506606502165,609.9246417182837,709.8902772185546,864.99838723067,949.281763305126,262.8195022430391,-285.0864513344368,1201.0394915119277,1300.5559904759737,4354818414.3535,1791.050077739544,356.10605751310993,2340.7692726777414,500.00004375265087,15283.421993283413,782.7723951292646,802.6976441916712,-451.15624965864026,4354818414.3535,162.7700902526003,23093.500935425716,1942.3807592174026,889.525021110277,465.13306967121434,600.0202194084437,842.0084717596637
14,8904835.651716234,1036504178.6155894,11785.493606909515,517.1093744066768,520.4711045179141,607.0796616071062,712.4515795548629,823.2542289006336,950.9087625360569,124.34513863957454,903.3505110233109,1200.5298869797546,1301.036556617126,1089200851.8576217,8681.740183376283,366.9222634526649,2291.3908748218773,500.0000326114307,22809.79404298886,826.500022776726,802.2066314034873,-870.7020191305573,1089200851.8576217,42.96857877768889,29210.113867337244,2094.1287822049003,3672.692548870524,538.9734693247233,600.0173372238728,846.0000000633178
15,17151604.71004297,420127161.4012793,7151.358272127448,593.5265831941992,520.6183826777612,610.9382538326007,704.1470410939937,855.8808621265803,939.4683440871366,-294.91241983364125,905.5386529403359,1200.9008943143806,1301.1241097986206,2207579128.9616966,5815.21434501129,405.88610893821414,1851.528061989489,500.00002379630473,28150.295146469758,812.5014147706063,800.924820968805,-367.16189964061505,2207579128.9616966,-779.6850421920481,59660.6865348468,1937.6457745768862,1039.7126457053814,531.2862468514329,600.0079468350757,842.0436555170068
16,40373723.493506245,1455621901.4285157,7287.629527979566,535.4361964505478,520.385423349658,608.6630240210975,709.1644463505334,849.9333747723724,945.6655474884201,125.25942412774293,171.68587010510237,1200.7112593680545,1300.4675811463453,4104558464.278103,10385.437395965057,417.20817667376673,1475.9764314433326,500.0002107603302,5278.635521767291,806.5000004330237,802.7339137807592,3.65776820154133,4104558464.278103,1624.7487218379556,9938.115782283283,3506.2351551438514,2260.1890195460246,492.428586736473,600.023535667531,844.1896838896466
17,19526905.98882626,1503005923.6953871,10660.387504101045,663.849276275584,520.3100237130704,607.8160290611816,702.3886726705455,859.8865381955256,938.6183605808495,123.12443026403889,862.3869452981953,1200.7090503857842,1300.2752663971728,772833983.6767929,3508.5019297441754,403.27131121205775,2265.346372070384,500.00054826829194,48998.605350998376,782.0015514262158,802.2401373771446,69.01374156624843,772833983.6767929,951.6926446861744,12871.79238870887,1918.1288541105534,1001.6156313067011,741.6490345594966,600.0314198535017,845.3152691338976
18,61432472.12105986,517990134.15162975,8400.563909928947,586.2289495020128,520.438485414596,609.01689829506,747.9671435608099,853.8661490963497,950.887083213971,428.86416030499186,-654.5520599878537,1200.801418902075,1300.3118178106492,2453567026.781855,8727.769860774446,369.2407420757631,2190.1067931406305,500.0000332875414,32485.580914799568,728.0016501323621,802.2089370633462,-140.10375395571282,2453567026.781855,-191.965834604458,59417.464137257135,1933.7064919996915,1254.6293673672756,520.2171656196969,600.0457980118831,858.005454747224
19,7647748.3685920015,668123608.3924756,6099.503650938087,532.9929981297972,520.4473508929341,606.0852288402239,705.4749734484786,836.2930722479834,950.9152512271429,-838.8560595478157,-582.3310128912399,1201.2590255821801,1300.5807934262587,2840383892.7408533,4021.292008698746,434.8648248558323,951.5195729510149,500.00017503236967,17823.1600611988,780.0001073226045,802.2651653488351,-284.0345887456533,2840383892.7408533,1034.8484947553134,32497.780946913572,1983.4734220934333,1104.6706494319876,435.8941431463473,600.0733700382555,860.0002614419396
20,249654059.99176684,371615264.00677484,5403.85016803386,632.5584416047441,520.2410176363458,607.2007651956435,707.1577880955172,848.1119026766206,951.394846328119,322.24545609619054,628.9673417028216,1201.0968200238863,1300.4974662038674,2561166361.325315,6102.423293851613,360.4529451672978,1174.7609084767064,500.00013562032575,95726.16702397911,793.7407446458681,802.2735408048964,-872.8580088414992,2561166361.325315,507.5957315972182,28368.80283825793,1927.622256640572,1332.6241992053988,463.5589470354654,600.0040324848427,832.1977294215947
21,21400210.172558542,1088488833.7822201,7079.536929282632,469.878020488324,520.4801379890534,604.8607343500186,704.8131756946303,852.3025364324963,924.598446041303,79.61272302195175,799.6122126809432,1200.639805637376,1300.2594286423061,2342714893.8167853,7414.005466961123,374.2001493641509,3109.415841401183,500.0000005574558,15251.711467869778,738.0028449543521,801.816692183527,314.7116043911292,2342714893.8167853,-628.35954986654,9617.46338518012,1912.9341949512739,2683.5068915008296,853.3176998930721,600.0310411407269,828.6230064345433
