,F12014,F22014,F32014,F42014,F52014,F62014,F72014,F82014,F92014,F102014,F112014,F122014,F132014,F12017,F22017,F32017,F42017,F52017,F62017,F72017,F82017,F92017,F12020,F22020,F32020,F42020,F12022,F22022,F32022,F42022
Mean,30045118.18550338,1235866456.6151137,7530.1304001239605,584.34368792379,520.4381935140613,609.1119552396161,709.3458632258411,846.2358047871189,942.6217857093465,33.14453012216658,478.7483356118221,1200.9635430702924,1300.5343354278375,2470932006.2632775,6798.511742953306,395.7854659209585,1844.6910577646368,500.00025510250305,31397.891684303064,775.6033103364015,802.1241710816328,-192.2550099157448,2470932006.2632775,284.3595620824756,33383.520242130406,2236.1013971767957,1346.5539321234078,579.9814876356622,600.0177405084638,851.729355782915
Std,43731373.58258302,684159651.2672895,2296.0479005626353,174.57230170961586,0.07694693655659023,1.6378029025323604,9.287404789498652,10.279842474155426,7.8041577285368176,317.30111086006633,571.7193884724812,0.29715386812191613,0.24578099889694505,1619946563.5924337,2595.976133296328,35.49585999167011,565.5406224720708,0.00044005852060441354,19070.62105167397,27.901765806179704,0.6063731886322372,370.2328232442035,1619946563.5924337,646.7448385850105,17306.453806228223,534.5702115330403,709.4298273355407,141.91926625911222,0.013625577617657663,18.110514798847408
Min,1373579.1302381773,219124465.19976854,2426.269157510698,438.812420800631,520.2410176363458,604.8607343500186,701.5360939303074,816.6425060335589,923.2753362406615,-1007.1045564507676,-654.5520599878537,1200.413480476653,1300.2432396820416,338838446.1284511,1791.050077739544,330.9596255405761,935.4458285878848,500.0000005574558,5278.635521767291,728.0016501323621,800.2654892660884,-994.7988712735687,338838446.1284511,-1365.6730182037827,9617.46338518012,1906.513351233422,450.52217860473564,426.9081769772239,600.0006190499607,828.6230064345433
Median,15409643.828935519,1155645807.2577238,7890.452794114786,532.71452719835,520.4459580850348,609.6128246663206,707.1621639343987,847.400229453569,943.9741528082491,121.81015592642416,665.8624373217822,1200.9280017107617,1300.4692227384576,2344884018.0893373,6159.614603724933,382.9120559002679,1866.9864749664407,500.00015517036934,28789.004052775497,768.0000254315164,802.2722279187457,-113.29776477955375,2344884018.0893373,293.7989170408596,28789.458352797585,2022.1488159558312,1153.678942758028,533.413824336739,600.0146071381528,846.0000036388938
Max,249654059.99176684,3018157922.0054407,12332.732806306722,1419.452944636617,520.6183826777612,611.3911178479998,747.9671435608099,864.99838723067,951.9357921960233,610.5324846777066,1411.1030390210735,1201.748180141418,1301.4192016405013,6716300348.083419,14534.4348801096,480.3714769409202,3109.415841401183,500.0029595051046,95726.16702397911,857.0000000027461,803.4634900417584,398.8222470998826,6716300348.083419,1624.7487218379556,73075.6574687676,4408.283679019083,3672.692548870524,1036.4195920627621,600.0733700382555,900.5012224163378
