,F12014,F22014,F32014,F42014,F52014,F62014,F72014,F82014,F92014,F102014,F112014,F122014,F132014,F12017,F22017,F32017,F42017,F52017,F62017,F72017,F82017,F92017,F12020,F22020,F32020,F42020,F12022,F22022,F32022,F42022
Mean,0.0056,12.358664566151136,7.53013040012396e-05,5.8434368792379e-06,0.0056,6.091119552396161e-06,7.093458632258411e-06,8.462358047871189e-06,9.426217857093465e-06,0.0056,0.0056,0.0056,0.0056,0.0056,6.798511742953306e-05,3.9578546592095845e-06,1.844691057764637e-05,0.0056,0.00031397891684303066,7.756033103364015e-06,8.021241710816328e-06,-1.922550099157448e-06,0.0056,2.843595620824756e-06,0.00033383520242130405,2.236101397176796e-05,0.0056,5.799814876356622e-06,6.000177405084638e-06,8.517293557829151e-06
Std,0.008150931227843394,6.841596512672895,2.296047900562636e-05,1.7457230170961586e-06,8.279616102104215e-07,1.6378029025323604e-08,9.287404789498651e-08,1.0279842474155427e-07,7.804157728536817e-08,0.053610240189466925,0.006687498080498465,1.3856054757736576e-06,1.0583139224618053e-06,0.0036713680235323483,2.595976133296328e-05,3.549585999167011e-07,5.655406224720708e-06,4.928652916145888e-09,0.00019070621051673971,2.7901765806179703e-07,6.063731886322372e-09,3.7023282324420348e-06,0.0036713680235323483,6.467448385850105e-06,0.00017306453806228224,5.345702115330403e-06,0.002950351217506921,1.4191926625911222e-06,1.3625577617657602e-10,1.811051479884741e-07
Min,0.00025601640445685334,2.1912446519976854,2.4262691575106978e-05,4.3881242080063105e-06,0.005597878355337929,6.048607343500186e-06,7.015360939303074e-06,8.166425060335589e-06,9.232753362406616e-06,-0.170157353123932,-0.007656405805040811,0.00559743510072212,0.005598746564291268,0.0007679269577267148,1.791050077739544e-05,3.309596255405761e-06,9.354458285878848e-06,0.005599997149096925,5.278635521767291e-05,7.280016501323621e-06,8.002654892660884e-06,-9.947988712735688e-06,0.0007679269577267148,-1.3656730182037827e-05,9.617463385180121e-05,1.9065133512334222e-05,0.0018736154119041264,4.269081769772239e-06,6.000006190499607e-06,8.286230064345433e-06
Median,0.0028721473122270942,11.556458072577238,7.890452794114786e-05,5.3271452719835e-06,0.005600083548052379,6.096128246663207e-06,7.071621639343987e-06,8.47400229453569e-06,9.439741528082492e-06,0.020580677133563346,0.007788705195677972,0.005599834273392793,0.0055997196298086145,0.005314330976334096,6.159614603724933e-05,3.829120559002679e-06,1.8669864749664406e-05,0.005599998880760672,0.000287890040527755,7.680000254315164e-06,8.022722279187457e-06,-1.1329776477955377e-06,0.005314330976334096,2.937989170408596e-06,0.00028789458352797585,2.0221488159558314e-05,0.004797878440158059,5.334138243367391e-06,6.000146071381528e-06,8.460000036388937e-06
Max,0.04653210971985634,30.18157922005441,0.00012332732806306722,1.419452944636617e-05,0.005601938864843694,6.113911178479998e-06,7.479671435608099e-06,8.6499838723067e-06,9.519357921960231e-06,0.10315373009040162,0.01650591016346685,0.0056036587019012,0.005603810165295857,0.01522149612127355,0.000145344348801096,4.803714769409202e-06,3.109415841401183e-05,0.005600030289293683,0.0009572616702397911,8.570000000027462e-06,8.034634900417584e-06,3.988222470998826e-06,0.01522149612127355,1.6247487218379555e-05,0.0007307565746876761,4.408283679019083e-05,0.015273861509016795,1.036419592062762e-05,6.000733700382555e-06,9.005012224163379e-06
